idpoi,title,layer,type,tipo,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
8230,Recamar,alojamientos,14,Hotel,Hotel de 1 estrela,"Alfonso XIII, 17-19",36201,986438911,www.recamar.com,"Céntrico e acolledor hotel de Vigo, na provincia de Pontevedra, o Hotel Recamar é un confortable establecemento que lle permitirá disfrutar dunha agradable estancia en Vigo.",http://www.turismodevigo.org/sites/turismodevigo/files/alo002.jpg,42.235224070922,-8.715151126775822,,gl-ES
8231,Sol-Por,alojamientos,14,Hotel,Hotel de 1 estrela,"Vía Norte, 9-1º A",36206,986416036,www.hotelsolpor.com,"Pequeno hotel próximo á antiga estación de tren (existe unha nova estación provisional na rúa Areal), fronte ó hospital de Fátima.",http://www.turismodevigo.org/sites/turismodevigo/files/alo003.jpg,42.2348591245786,-8.70890742159952,,gl-ES
8303,Infinit,alojamientos,14,Hotel,Hotel de 3 estrelas,"Marqués de Valladares, 8",36201,986442224,www.inffinit.com,"Edificio rehabilitado en 2009. Un hotel urbano, cun elegante e coidado deseño, tanto interior como exterior, que escapa das estridencias formais e onde se coida ata o mais mínimo detalle.",http://www.turismodevigo.org/sites/turismodevigo/files/alo076.jpg,42.2390843967642,-8.722294990654405,,gl-ES
8294,Ensenada,alojamientos,14,Hotel,Hotel de 3 estrelas,"Alfonso XIII, 11",36201,986447440,www.ensenadavigo.com,"Hotel próximo ó Porto de Vigo. Situado no núcleo urbano de Vigo, ubicado na zona comercial e financeira da cidade, a 700 metros da estación de ferrocarril e 15 minutos do aeroporto.",http://www.turismodevigo.org/sites/turismodevigo/files/alo067.jpg,42.2355109870083,-8.715367045873336,,gl-ES
8311,NH Palacio de Vigo,alojamientos,14,Hotel,Hotel de 4 estrelas,"Avda García Barbón, 17-19",36201,986433643,www.nh-hotels.com,O Hotel NH Palacio de Vigo ofrece 108 elegantes e acolledoras habitacións nun edificio histórico completamente renovado que data do 1904. A fachada orixinal de granito e a carpintería interior están realzadas coas máis modernas comodidades.,http://www.turismodevigo.org/sites/turismodevigo/files/alo084.jpg,42.2374677412219,-8.718657310864842,,gl-ES
10246,O Castro,alojamientos,14,Hotel,Residencia de estudantes,"Rúa Xeración Nos, 4",36310,986031000,http://www.resa.es/Residencias/O-Castro,"Dispón de 21 habitacións individuais con cociña e 205 habitacións indidividuais con cociña compartida. Todas as habitacións teñen baño propio, teléfono, calefacción, internet, antena de tv e conexión vía satélite. Habitácións adaptadas a discapacitados.",http://www.turismodevigo.org/sites/turismodevigo/files/alo101.jpg,42.1709965,-8.686300599999981,,gl-ES
10245,Kaps hostel,alojamientos,23,Albergue,,"Rúa Emilia Pardo Bazán, 12",36204,986 11 00 10,http://www.hostelvigo.com,"<div>En el corazón de la ciudad de Vigo, cerca de la estación de tren y autobús, así como de dos centros comerciales, KAPS HOSTEL VIGO es una de las mejores opciones para disfrutar de tu estancia en Vigo y en las Rías Baixas.</div><div>&nbsp;</div><div>Un lugar tranquilo, con un ambiente agradable y unas instalaciones modernas y actuales que te haran disfrutar al máximo.</div>",http://www.turismodevigo.org/sites/turismodevigo/files/alo500_0.jpg,42.22758719999999,-8.71863200000007,,gl-ES
8283,Atlántico,alojamientos,14,Hotel,Hotel de 2 estrelas,"García Barbón, 35",36201,986220530,www.hotelatlanticovigo.com,O Hotel Atlántico é un moderno e funcional hotel ancorado no centro da cidade de Vigo.,http://www.turismodevigo.org/sites/turismodevigo/files/alo055.jpg,42.2371879852373,-8.7176643232259,,gl-ES
8300,Gran Hotel Nagari,alojamientos,14,Hotel,Hotel de 5 estrelas,Praza de Compostela,36201,986211111,www.gruposolvidahoteles.com/spa/nagari_boutique_spa.php,"Situado nun edificio histórico, conserva a súa impoñente fachada catalogada. Xa no seu interior totalmente reformado, o deseño de cada un dos seus espazos está marcado por liñas clásicas e orientais fusionadas co vanguardismo máis moderno.",http://www.turismodevigo.org/sites/turismodevigo/files/alo073.jpg,42.240845223896,-8.71986483512658,,gl-ES
8293,El Águila,alojamientos,14,Hotel,Hotel de 1 estrela,"Victoria, 6",36201,986431398,www.hotelaguila.com,En pleno centro comercial e a moi poucos metros do paseo marítimo donde se encontra o Club náutico e Porto Comercial.,,42.2387490821213,-8.72427957833081,,gl-ES
